time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,delta_height
0,29-08-17 5:05,51.11217048,9.01736717,0,Available with any HD 360 subscription,Available with any HD 360 subscription,91.78681298,0.656168,0,0,10,4,0,91.78681298,0,0,0,0,0,0,166.2,3.1,1.1,0,0,364,1684,364,364,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,6,P-GPS,,0
100,29-08-17 5:05,51.11217047,9.01736709,0,,,91.78681298,0.656168,0,0.029470277,10,4,0,91.78681298,0,0,0.029470277,0,0,0,166.2,3,1.1,0,0,364,1684,364,364,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
200,29-08-17 5:05,51.11217045,9.01736701,0,,,91.78681298,0.656168,0,0.058286419,10,4,0,91.78681298,0,0,0.058286419,0,0,0,166.2,3,1.1,0,0,364,1684,364,364,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
300,29-08-17 5:05,51.11217043,9.01736695,0,,,91.78681298,0.656168,0,0.081372706,10,4,0,91.78681298,0,0,0.081372706,0,0,0,166.2,3.1,1.1,0,0,364,1684,364,364,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
400,29-08-17 5:05,51.1121704,9.01736688,0,,,91.78681298,0.656168,0,0.106264767,10,4,0,91.78681298,0,0,0.106264767,0,0,0,166.2,3.1,1.1,0,0,364,1684,364,364,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
500,29-08-17 5:05,51.11217036,9.01736679,0,,,91.78681298,0.656168,0,0.140945543,10,4,0,91.78681298,0,0,0.140945543,0,0,0,165.9,3,1.1,0,0,399,1684,1024,963,162.5,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
600,29-08-17 5:05,51.11217031,9.01736671,0,,,91.78681298,0.656168,0,0.173112866,10,4,0,91.78681298,0,0,0.173112866,0,0,0,165,3,1.1,0,0,1024,1024,1024,1024,163.8,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
700,29-08-17 5:05,51.1121703,9.01736665,0,,,91.78681298,0.656168,0,0.193712277,10,4,0,91.78681298,0,0,0.193712277,0,0,0,164.9,3.1,1,0,0,1024,1024,1024,1024,164.1,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
800,29-08-17 5:05,51.11217028,9.01736658,0,,,91.78681298,0.656168,0,0.219032815,10,4,0,91.78681298,0,0,0.219032815,0,0,0,164.8,3.1,1.1,0,0,1024,1024,1024,1024,164.2,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,Setting new Return-To-Home altitude to 35m (115 ft). Data Recorder File Index is 169. Setting new Maximum Flight Altitude to 450m (1476 ft),0
900,29-08-17 5:05,51.11217026,9.01736649,0,,,91.78681298,0.656168,0,0.251948827,10,4,0,91.78681298,0,0,0.251948827,0,0,0,164.7,3,1.1,0,0,1024,1024,1024,1024,164.3,0,99,4.206,4.157,4.165,0,0,0,0,84.74,91.78681298,0,41,Motors_Started,,0
